ID,NAME,PRICE,Quantity
932,2849 6 16,330,12
933,2851 20 24,520,21
934,2853 6 16,435,18
935,2854 12 20,425,5
936,2855 20 24,450,6
937,2857 12 20,575,20
938,2858 6 16,550,78
939,2859 20 24,510,3
940,3032 18,445,1
941,3058 18,445,8
942,3063 18,470,4
943,3100 22 30,150,59
944,3100 32 40,150,45
945,3101 22 30,205,5
946,31481 FREE,1090,1
947,31901 MASTER,635,1
948,31960 L 2XL,810,2
949,31965 38 42,1030,4
950,31969 L 2XL,0,3
951,32028 FREE,1110,1
952,32031 XL XXL,1510,1
953,32055 S.M.L.,400,3
954,32057 XL,620,3
955,32062 M XL,895,1
956,32066 FREE,535,6
957,32069 L 2XL,895,1
958,32070 FREE,535,2
959,32083 L XL,905,1
960,32086 L XL,780,1
961,32089 FREE,1295,1
962,32092 M 2XL,1195,1
963,33000 M XL,1300,1
964,33044 FREE,535,2
965,33045 FREE,560,3
966,33050 FREE,535,1
967,33053 L 2XL,1195,1
968,33064 FREE,500,1
969,33067 FREE,380,1
970,33106 XL,475,1
971,33120 M 2XL,705,5
972,33139 FREE,475,1
973,33140 FREE,530,-5
974,33143 M XL,530,1
975,33145 S XL,540,10
976,33146 S XL,490,7
977,33152 M 2XL,655,3
978,33161 FREE,665,3
979,33162 FREE,495,2
980,33165 26 32,485,-2
981,33191 XL,485,1
982,33193 S XL,465,1
983,33195 S.M.L.,475,1
984,33196 M LXL,575,-3
985,33198 M LXL,585,6
986,33216 FREE,615,-12
987,33222 L 2XL,670,7
988,33226 XL,690,1
989,33235 S 2XL,545,8
990,33243,735,5
991,33250 32 36,650,6
992,33251 M LXL,630,6
993,33255 M 2XL,535,23
994,33258 36 40,495,1
995,33285 26 34,555,-5
996,33287 26 34,405,-5
997,33291 M 2XL,790,20
998,33295 M LXL,665,-3
999,33296 M LXL,680,3
1000,33299 M LXL,510,10
1001,33305 M LXL,680,9
1002,33308 M LXL,535,30
1003,33309 M LXL,515,-2
1004,33310 M LXL,505,2
1005,33315 M LXL,455,3
1006,33316 M LXL,455,9
1007,33319 XL,595,8
1008,33321 XL,590,2
1009,33322 XL,565,17
1010,33323 XL,585,8
1011,33327 L 2XL,580,3
1012,33328 M 2XL,665,12
1013,33330 26 36,565,12
1014,33331,635,18
1015,33333,560,18
1016,33336 26 34,485,30
1017,33338,525,3
1018,33339,495,20
1019,33341,610,1
1020,33342,545,21
1021,33346 M 2XL,795,27
1022,33347 L XL,690,4
1023,33348 L XL,690,8
1024,33349 26 36,565,24
1025,33350 26 36,565,36
1026,33351 26 36,565,18
1027,33352 26 36,565,44
1028,33528 M 2XL,445,-1
1029,33529 M 2XL,445,-1
1030,33530 M 2XL,445,-2
1031,33538 L 2XL,575,1
1032,33542 M 2XL,385,3
1033,33543 M 2XL,385,7
1034,33544 M 2XL,385,2
1035,33552 M 2XL,515,4
1036,33554 M 2XL,410,4
1037,33556 M XL,280,-2
1038,33557 M XL,240,7
1039,33558 M XL,240,16
1040,33561 L,245,-1
1041,33562 M,245,1
1042,33562 XL,255,-1
1043,34003 L 2XL,180,7
1044,34004 L 2XL,170,3
1045,3420 28 38,715,6
1046,3648 24 34,690,12
1047,3663 32 40,310,1
1048,3837 32 40,255,1
1049,3941 26 32,455,2
1050,3954 22 30,260,20
1051,3961 24 34,255,11
1052,39701 28 34,315,-3
1053,39702 L XL,265,8
1054,39704 L 3XL,265,8
1055,39705 L 3XL,265,4
